date,cash,portfolio_value
2018-11-06,1385616.8844320003,1385616.8844320003
2018-11-07,1385616.8844320003,1385616.8844320003
2018-11-08,1385616.8844320003,1385616.8844320003
2018-11-09,1385616.8844320003,1385616.8844320003
2018-11-12,1385616.8844320003,1385616.8844320003
2018-11-13,1385616.8844320003,1385616.8844320003
2018-11-14,1385616.8844320003,1385616.8844320003
2018-11-15,1385616.8844320003,1385616.8844320003
2018-11-16,1385616.8844320003,1385616.8844320003
2018-11-19,1385616.8844320003,1385616.8844320003
2018-11-20,1385616.8844320003,1385616.8844320003
2018-11-21,1385616.8844320003,1385616.8844320003
2018-11-22,1385616.8844320003,1385616.8844320003
2018-11-26,1385616.8844320003,1385616.8844320003
2018-11-27,1385616.8844320003,1385616.8844320003
2018-11-28,1385616.8844320003,1385616.8844320003
2018-11-29,1385616.8844320003,1385616.8844320003
2018-11-30,1385616.8844320003,1385616.8844320003
2018-12-03,1385616.8844320003,1385616.8844320003
2018-12-04,1385616.8844320003,1385616.8844320003
2018-12-05,1385616.8844320003,1385616.8844320003
2018-12-06,1385616.8844320003,1385616.8844320003
2018-12-07,1385616.8844320003,1385616.8844320003
2018-12-10,1385616.8844320003,1385616.8844320003
2018-12-11,1385616.8844320003,1385616.8844320003
2018-12-12,1385616.8844320003,1385616.8844320003
2018-12-13,1385616.8844320003,1385616.8844320003
2018-12-14,1385616.8844320003,1385616.8844320003
2018-12-17,1385616.8844320003,1385616.8844320003
2018-12-18,1385616.8844320003,1385616.8844320003
2018-12-19,1385616.8844320003,1385616.8844320003
2018-12-20,1385616.8844320003,1385616.8844320003
2018-12-21,1385616.8844320003,1385616.8844320003
2018-12-25,1385616.8844320003,1385616.8844320003
2018-12-26,1385616.8844320003,1385616.8844320003
2018-12-27,1385616.8844320003,1385616.8844320003
2018-12-28,1385616.8844320003,1385616.8844320003
2019-01-04,1385616.8844320003,1385616.8844320003
2019-01-07,1385616.8844320003,1385616.8844320003
2019-01-08,1385616.8844320003,1385616.8844320003
2019-01-09,1385616.8844320003,1385616.8844320003
2019-01-10,1385616.8844320003,1385616.8844320003
2019-01-11,1385616.8844320003,1385616.8844320003
2019-01-15,1385616.8844320003,1385616.8844320003
2019-01-16,1385616.8844320003,1385616.8844320003
2019-01-17,1385616.8844320003,1385616.8844320003
2019-01-18,1385616.8844320003,1385616.8844320003
2019-01-21,1385616.8844320003,1385616.8844320003
2019-01-22,1385616.8844320003,1385616.8844320003
2019-01-23,1292973.4585570004,1386573.4585570004
2019-01-24,1292973.4585570004,1384873.4585570004
2019-01-25,1200830.8079570003,1383830.8079570003
2019-01-28,934919.1369320004,1364619.1369320005
2019-01-29,862006.2568920004,1363706.2568920003
2019-01-30,976728.2250870004,1333228.2250870005
2019-01-31,1174421.4339870005,1333021.4339870005
2019-02-01,1241117.9307270006,1332417.9307270006
2019-02-04,1332875.5362720005,1332875.5362720005
2019-02-05,1332875.5362720005,1332875.5362720005
2019-02-06,1332875.5362720005,1332875.5362720005
2019-02-07,1332875.5362720005,1332875.5362720005
2019-02-08,1332875.5362720005,1332875.5362720005
2019-02-12,1332875.5362720005,1332875.5362720005
2019-02-13,1332875.5362720005,1332875.5362720005
2019-02-14,1252451.0271070006,1332951.0271070006
2019-02-15,1252451.0271070006,1331651.0271070006
2019-02-18,1252451.0271070006,1332351.0271070006
2019-02-19,1126856.5881370006,1332456.5881370006
2019-02-20,1014482.6164270006,1333982.6164270006
2019-02-21,1014482.6164270006,1337082.6164270006
2019-02-22,1014482.6164270006,1336082.6164270006
2019-02-25,1099350.9131770006,1336050.9131770006
2019-02-26,974758.0247570006,1335058.0247570006
2019-02-27,1098765.5830670006,1339365.5830670006
2019-02-28,1098765.5830670006,1339365.5830670006
2019-03-01,1210991.4248870006,1343791.4248870006
2019-03-04,1210991.4248870006,1344991.4248870006
2019-03-05,1210991.4248870006,1344591.4248870006
2019-03-06,1210991.4248870006,1346991.4248870006
2019-03-07,1210991.4248870006,1346591.4248870006
2019-03-08,1129365.0550620006,1340165.0550620006
2019-03-11,1129365.0550620006,1340865.0550620006
2019-03-12,1129365.0550620006,1356065.0550620006
2019-03-13,1027006.5888520007,1368006.5888520007
2019-03-14,914632.6171420007,1363532.6171420007
2019-03-15,914632.6171420007,1359132.6171420007
2019-03-18,997504.0127920007,1367304.0127920005
2019-03-19,997504.0127920007,1358504.0127920005
2019-03-20,997504.0127920007,1368304.0127920005
2019-03-22,1092556.5051520006,1364556.5051520006
2019-03-25,1092556.5051520006,1364556.5051520006
2019-03-26,1012232.1510420006,1367132.1510420006
2019-03-27,1012232.1510420006,1375532.1510420006
2019-03-28,922092.6015420007,1372292.6015420007
2019-03-29,922092.6015420007,1369092.6015420007
2019-04-01,922092.6015420007,1376192.6015420007
2019-04-02,1033319.9928120007,1352019.9928120007
2019-04-03,1268954.3226120006,1350554.3226120006
2019-04-04,1268954.3226120006,1348954.3226120006
2019-04-05,1347831.9160620007,1347831.9160620007
2019-04-08,1240666.0072120007,1349666.0072120007
2019-04-09,1240666.0072120007,1352066.0072120007
2019-04-10,1240666.0072120007,1353066.0072120007
2019-04-11,1240666.0072120007,1348366.0072120007
2019-04-12,1240666.0072120007,1349566.0072120007
2019-04-15,1240666.0072120007,1347966.0072120007
2019-04-16,1345303.6248520007,1345303.6248520007
2019-04-17,1345303.6248520007,1345303.6248520007
2019-04-18,1275996.3267920008,1347996.3267920008
2019-04-19,1275996.3267920008,1346496.3267920008
2019-04-22,1173838.1706920008,1345638.1706920008
2019-04-23,1068274.7427220007,1342774.7427220007
2019-04-24,961609.6091470007,1338409.6091470006
2019-04-25,961609.6091470007,1342209.6091470006
2019-04-26,954686.8704620007,1334686.8704620008
2019-05-07,954686.8704620007,1319486.8704620008
2019-05-08,1237048.6860020007,1311748.6860020007
2019-05-09,1237048.6860020007,1310048.6860020007
2019-05-10,1237048.6860020007,1310648.6860020007
2019-05-13,1237048.6860020007,1307948.6860020007
2019-05-14,1305342.7036220008,1305342.7036220008
2019-05-15,1305342.7036220008,1305342.7036220008
2019-05-16,1305342.7036220008,1305342.7036220008
2019-05-17,1305342.7036220008,1305342.7036220008
2019-05-20,1305342.7036220008,1305342.7036220008
2019-05-21,1305342.7036220008,1305342.7036220008
2019-05-22,1305342.7036220008,1305342.7036220008
2019-05-23,1305342.7036220008,1305342.7036220008
2019-05-24,1305342.7036220008,1305342.7036220008
2019-05-27,1305342.7036220008,1305342.7036220008
2019-05-28,1305342.7036220008,1305342.7036220008
2019-05-29,1305342.7036220008,1305342.7036220008
2019-05-30,1305342.7036220008,1305342.7036220008
2019-05-31,1305342.7036220008,1305342.7036220008
2019-06-03,1305342.7036220008,1305342.7036220008
2019-06-04,1305342.7036220008,1305342.7036220008
2019-06-05,1305342.7036220008,1305342.7036220008
2019-06-06,1305342.7036220008,1305342.7036220008
2019-06-07,1305342.7036220008,1305342.7036220008
2019-06-10,1305342.7036220008,1305342.7036220008
2019-06-11,1305342.7036220008,1305342.7036220008
2019-06-12,1214602.2237920007,1305002.2237920007
2019-06-13,1214602.2237920007,1302702.2237920007
2019-06-14,1214602.2237920007,1304602.2237920007
2019-06-17,1214602.2237920007,1311002.2237920007
2019-06-18,1214602.2237920007,1310302.2237920007
2019-06-19,1214602.2237920007,1311802.2237920007
2019-06-20,979237.8445420007,1316037.8445420007
2019-06-21,979237.8445420007,1316337.8445420007
2019-06-24,979237.8445420007,1311637.8445420007
2019-06-25,1069298.0841520007,1309398.0841520007
2019-06-26,1069298.0841520007,1314898.0841520007
2019-06-27,1069298.0841520007,1317198.0841520007
2019-06-28,1085726.7133920009,1316826.7133920009
2019-07-01,963737.8564020009,1323737.8564020009
2019-07-02,963737.8564020009,1329637.8564020009
2019-07-03,963737.8564020009,1330837.8564020009
2019-07-04,963737.8564020009,1334837.8564020009
2019-07-05,963737.8564020009,1335137.8564020009
2019-07-08,984825.0781720007,1322525.0781720006
2019-07-09,938096.4526520006,1328496.4526520006
2019-07-10,971624.6262970007,1327124.6262970008
2019-07-11,1096231.2549370006,1335931.2549370006
2019-07-12,1096231.2549370006,1331731.2549370006
2019-07-16,978248.6001470006,1320048.6001470005
2019-07-17,1069407.1353620007,1319007.1353620007
2019-07-18,1200004.4673020006,1315004.4673020006
2019-07-19,1314826.2805520005,1314826.2805520005
2019-07-22,1314826.2805520005,1314826.2805520005
2019-07-23,1194039.2842220005,1315039.2842220005
2019-07-24,1194039.2842220005,1315439.2842220005
2019-07-25,1194039.2842220005,1318039.2842220005
2019-07-26,1071249.1867920004,1315649.1867920004
2019-07-29,949861.2601320004,1308061.2601320003
2019-07-30,949861.2601320004,1310461.2601320003
2019-07-31,949861.2601320004,1315461.2601320003
2019-08-01,949861.2601320004,1318661.2601320003
2019-08-02,949861.2601320004,1302561.2601320003
2019-08-05,1061811.2270070005,1296411.2270070005
2019-08-06,1061811.2270070005,1300311.2270070005
2019-08-07,1176233.6600370004,1299233.6600370004
2019-08-08,1176233.6600370004,1303133.6600370004
2019-08-09,1176233.6600370004,1302833.6600370004
2019-08-13,1176233.6600370004,1304333.6600370004
2019-08-14,1303835.6403270005,1303835.6403270005
2019-08-15,1303835.6403270005,1303835.6403270005
2019-08-16,1303835.6403270005,1303835.6403270005
2019-08-19,1303835.6403270005,1303835.6403270005
2019-08-20,1303835.6403270005,1303835.6403270005
2019-08-21,1303835.6403270005,1303835.6403270005
2019-08-22,1303835.6403270005,1303835.6403270005
2019-08-23,1303835.6403270005,1303835.6403270005
2019-08-26,1303835.6403270005,1303835.6403270005
2019-08-27,1303835.6403270005,1303835.6403270005
2019-08-28,1303835.6403270005,1303835.6403270005
2019-08-29,1303835.6403270005,1303835.6403270005
2019-08-30,1303835.6403270005,1303835.6403270005
2019-09-02,1303835.6403270005,1303835.6403270005
2019-09-03,1303835.6403270005,1303835.6403270005
2019-09-04,1303835.6403270005,1303835.6403270005
2019-09-05,1303835.6403270005,1303835.6403270005
2019-09-06,1303835.6403270005,1303835.6403270005
2019-09-09,1303835.6403270005,1303835.6403270005
2019-09-10,1303835.6403270005,1303835.6403270005
2019-09-11,1303835.6403270005,1303835.6403270005
2019-09-12,1115544.1369270005,1301444.1369270005
2019-09-13,1115544.1369270005,1302744.1369270005
2019-09-17,968115.8959670005,1303615.8959670006
2019-09-18,968115.8959670005,1305015.8959670006
2019-09-19,968115.8959670005,1305615.8959670006
2019-09-20,968115.8959670005,1304915.8959670006
2019-09-24,1155824.5993670006,1307924.5993670006
2019-09-25,1155824.5993670006,1308724.5993670006
2019-09-26,1308887.0686820007,1308887.0686820007
2019-09-27,1308887.0686820007,1308887.0686820007
2019-09-30,1308887.0686820007,1308887.0686820007
2019-10-01,1250696.9817270008,1306496.9817270008
2019-10-02,1158053.5558520008,1305653.5558520008
2019-10-03,1102667.8104370008,1304167.8104370008
2019-10-04,1102667.8104370008,1303467.8104370008
2019-10-07,1102667.8104370008,1322667.8104370008
2019-10-08,1102667.8104370008,1334267.8104370008
2019-10-09,1009924.2295070009,1340724.229507001
2019-10-10,1105575.792197001,1328175.792197001
2019-10-11,1118890.934732001,1347590.934732001
2019-10-15,1118890.934732001,1343890.934732001
2019-10-16,984282.5408120011,1337282.540812001
2019-10-17,728486.5303420011,1346186.530342001
2019-10-18,832325.3875420011,1348325.387542001
2019-10-21,832325.3875420011,1333325.387542001
2019-10-23,949443.6370570011,1341643.6370570012
2019-10-24,949443.6370570011,1342643.6370570012
2019-10-25,1080640.0393270012,1343040.0393270012
2019-10-28,959752.8879420012,1342952.8879420012
2019-10-29,959752.8879420012,1363152.8879420012
2019-10-30,959752.8879420012,1362052.8879420012
2019-10-31,959752.8879420012,1353652.8879420012
2019-11-01,959752.8879420012,1345252.8879420012
2019-11-05,1227836.8606170013,1351636.8606170013
2019-11-06,1243075.0991970012,1360375.0991970012
2019-11-07,1243075.0991970012,1390375.0991970012
2019-11-08,1243075.0991970012,1381375.0991970012
2019-11-11,1243075.0991970012,1381575.0991970012
2019-11-12,1243075.0991970012,1375775.0991970012
2019-11-13,1243075.0991970012,1374175.0991970012
2019-11-14,1243075.0991970012,1366175.0991970012
2019-11-15,1243075.0991970012,1396175.0991970012
2019-11-18,1134907.6397970011,1376907.6397970011
2019-11-19,1134907.6397970011,1384407.6397970011
2019-11-20,1015622.9692920012,1367822.9692920013
2019-11-21,1101988.9418670011,1349988.9418670011
2019-11-22,986009.3881770012,1347709.3881770012
2019-11-25,1120900.0574820011,1339800.0574820011
2019-11-26,1233125.899302001,1342925.899302001
2019-11-27,1110235.646817001,1343135.646817001
